segment,day_start_approx,return_start_percent_approx,day_end_approx,return_end_percent_approx,marker_bridge
354,-13.333333,0.152878,-13.224044,0.152878,False
355,-13.333333,0.0,-13.224044,0.0,False
356,-13.333333,-0.1875,-13.224044,-0.196429,False
357,-13.333333,-0.464286,-13.224044,-0.464286,False
358,-13.333333,-0.741071,-13.224044,-0.75,False
359,-13.333333,-1.0,-13.224044,-1.008929,False
360,-13.224044,0.44964,-13.114754,0.440647,False
361,-13.224044,0.152878,-13.114754,0.161871,False
362,-13.224044,0.0,-13.114754,0.0,False
363,-13.224044,-0.196429,-13.114754,-0.205357,False
364,-13.224044,-0.464286,-13.114754,-0.473214,False
365,-13.224044,-0.75,-13.114754,-0.758929,False
366,-13.224044,-1.008929,-13.114754,-1.026786,False
367,-13.114754,0.440647,-13.005464,0.440647,False
368,-13.114754,0.161871,-13.005464,0.161871,False
369,-13.114754,0.0,-13.005464,0.0,False
370,-13.114754,-0.205357,-13.005464,-0.205357,False
371,-13.114754,-0.473214,-13.005464,-0.482143,False
372,-13.114754,-0.758929,-13.005464,-0.767857,False
373,-13.114754,-1.026786,-13.005464,-1.026786,False
374,-13.005464,0.440647,-12.896175,0.440647,False
375,-13.005464,0.161871,-12.896175,0.161871,False
376,-13.005464,0.0,-12.896175,0.0,False
377,-13.005464,-0.205357,-12.896175,-0.214286,False
378,-13.005464,-0.482143,-12.896175,-0.482143,False
379,-13.005464,-0.767857,-12.896175,-0.776786,False
380,-13.005464,-1.026786,-12.896175,-1.044643,False
381,-12.896175,0.440647,-12.786885,0.440647,False
382,-12.896175,0.161871,-12.786885,0.170863,False
383,-12.896175,0.0,-12.786885,-0.008929,False
384,-12.896175,-0.214286,-12.786885,-0.223214,False
385,-12.896175,-0.482143,-12.786885,-0.5,False
386,-12.896175,-0.776786,-12.786885,-0.785714,False
387,-12.896175,-1.044643,-12.786885,-1.053571,False
388,-12.786885,0.440647,-12.677596,0.440647,False
389,-12.786885,0.170863,-12.677596,0.188849,False
390,-12.786885,-0.008929,-12.677596,-0.008929,False
391,-12.786885,-0.223214,-12.677596,-0.223214,False
392,-12.786885,-0.5,-12.677596,-0.5,False
393,-12.786885,-0.785714,-12.677596,-0.794643,False
394,-12.786885,-1.053571,-12.677596,-1.071429,False
395,-12.677596,0.440647,-12.568306,0.431655,False
396,-12.677596,0.188849,-12.568306,0.188849,False
397,-12.677596,-0.008929,-12.568306,0.026978,False
398,-12.677596,-0.008929,-12.568306,-0.035714,False
399,-12.677596,-0.223214,-12.568306,-0.232143,False
400,-12.677596,-0.5,-12.568306,-0.508929,False
401,-12.677596,-0.794643,-12.568306,-0.8125,False
402,-12.677596,-1.071429,-12.568306,-1.089286,False
403,-12.568306,0.431655,-12.459016,0.422662,False
404,-12.568306,0.188849,-12.459016,0.197842,False
405,-12.568306,0.026978,-12.459016,0.026978,False
406,-12.568306,-0.035714,-12.459016,-0.044643,False
407,-12.568306,-0.232143,-12.459016,-0.241071,False
408,-12.568306,-0.508929,-12.459016,-0.517857,False
409,-12.568306,-0.8125,-12.459016,-0.830357,False
410,-12.568306,-1.089286,-12.459016,-1.089286,False
411,-12.459016,0.422662,-12.349727,0.422662,False
412,-12.459016,0.197842,-12.349727,0.197842,False
413,-12.459016,0.026978,-12.349727,0.026978,False
414,-12.459016,-0.044643,-12.349727,-0.044643,False
415,-12.459016,-0.241071,-12.349727,-0.241071,False
416,-12.459016,-0.517857,-12.349727,-0.526786,False
417,-12.459016,-0.830357,-12.349727,-0.839286,False
418,-12.459016,-1.089286,-12.349727,-1.107143,False
419,-12.349727,0.422662,-12.240437,0.413669,False
420,-12.349727,0.197842,-12.240437,0.215827,False
421,-12.349727,0.026978,-12.240437,0.026978,False
422,-12.349727,-0.044643,-12.240437,-0.053571,False
423,-12.349727,-0.241071,-12.240437,-0.258929,False
424,-12.349727,-0.526786,-12.240437,-0.526786,False
425,-12.349727,-0.839286,-12.240437,-0.866071,False
426,-12.349727,-1.107143,-12.240437,-1.125,False
427,-12.240437,0.413669,-12.131148,0.404676,False
428,-12.240437,0.215827,-12.131148,0.215827,False
429,-12.240437,0.026978,-12.131148,0.035971,False
430,-12.240437,-0.053571,-12.131148,-0.053571,False
431,-12.240437,-0.258929,-12.131148,-0.258929,False
432,-12.240437,-0.526786,-12.131148,-0.535714,False
433,-12.240437,-0.866071,-12.131148,-0.883929,False
434,-12.240437,-1.125,-12.131148,-1.151786,False
435,-12.131148,0.404676,-12.021858,0.395683,False
436,-12.131148,0.215827,-12.021858,0.215827,False
437,-12.131148,0.035971,-12.021858,0.035971,False
438,-12.131148,-0.053571,-12.021858,-0.053571,False
439,-12.131148,-0.258929,-12.021858,-0.258929,False
440,-12.131148,-0.535714,-12.021858,-0.544643,False
441,-12.131148,-0.883929,-12.021858,-0.901786,False
442,-12.131148,-1.151786,-12.021858,-1.169643,False
443,-12.021858,0.395683,-11.912568,0.395683,False
444,-12.021858,0.215827,-11.912568,0.22482,False
445,-12.021858,0.035971,-11.912568,0.035971,False
446,-12.021858,-0.053571,-11.912568,-0.0625,False
447,-12.021858,-0.258929,-11.912568,-0.258929,False
448,-12.021858,-0.544643,-11.912568,-0.553571,False
449,-12.021858,-0.901786,-11.912568,-0.910714,False
450,-12.021858,-1.169643,-11.912568,-1.169643,False
451,-11.912568,0.395683,-11.803279,0.395683,False
452,-11.912568,0.22482,-11.803279,0.233813,False
453,-11.912568,0.035971,-11.803279,0.035971,False
454,-11.912568,-0.0625,-11.803279,-0.0625,False
455,-11.912568,-0.258929,-11.803279,-0.258929,False
456,-11.912568,-0.553571,-11.803279,-0.553571,False
457,-11.912568,-0.910714,-11.803279,-0.9375,False
458,-11.912568,-1.169643,-11.803279,-1.1875,False
459,-11.803279,0.395683,-11.693989,0.386691,False
460,-11.803279,0.233813,-11.693989,0.242806,False
461,-11.803279,0.035971,-11.693989,0.044964,False
462,-11.803279,-0.0625,-11.693989,-0.0625,False
463,-11.803279,-0.258929,-11.693989,-0.258929,False
464,-11.803279,-0.553571,-11.693989,-0.5625,False
